date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:21:47	574/574	---M--	200	added ('OK')	image/png	etag:W/%2223e-17d7f455918%22	https://www.icmarkets.com/assets/img/single_market_page/trading-hours-chat.png	C:/Users/Kenny%20Power/Desktop/IC%20Markets%20Homepage/IC%20markets%20Homepage/www.icmarkets.com/assets/img/single_market_page/trading-hours-chat.png	(from https://www.icmarkets.com/css/pages/trading-hours.css?3de5aa6be2ea42bf2dd19962fe2688f6)
21:21:47	621/621	---M--	200	added ('OK')	image/png	etag:W/%2226d-17d7f455918%22	https://www.icmarkets.com/assets/img/single_market_page/trading-hours-email.png	C:/Users/Kenny%20Power/Desktop/IC%20Markets%20Homepage/IC%20markets%20Homepage/www.icmarkets.com/assets/img/single_market_page/trading-hours-email.png	(from https://www.icmarkets.com/css/pages/trading-hours.css?3de5aa6be2ea42bf2dd19962fe2688f6)
21:21:50	40373/40373	---M--	200	added ('OK')	image/jpeg	etag:W/%229db5-17d7f455918%22	https://www.icmarkets.com/assets/img/single_market_page/swap-rates-banner.jpg	C:/Users/Kenny%20Power/Desktop/IC%20Markets%20Homepage/IC%20markets%20Homepage/www.icmarkets.com/assets/img/single_market_page/swap-rates-banner.jpg	(from https://www.icmarkets.com/css/pages/swap-rates.css?09dd6ab8f7d673cdbc8bd192ce463261)
21:21:50	574/574	---M--	200	added ('OK')	image/png	etag:W/%2223e-17d7f455918%22	https://www.icmarkets.com/assets/img/single_market_page/swap-rates-chat.png	C:/Users/Kenny%20Power/Desktop/IC%20Markets%20Homepage/IC%20markets%20Homepage/www.icmarkets.com/assets/img/single_market_page/swap-rates-chat.png	(from https://www.icmarkets.com/css/pages/swap-rates.css?09dd6ab8f7d673cdbc8bd192ce463261)
21:21:50	621/621	---M--	200	added ('OK')	image/png	etag:W/%2226d-17d7f455918%22	https://www.icmarkets.com/assets/img/single_market_page/swap-rates-email.png	C:/Users/Kenny%20Power/Desktop/IC%20Markets%20Homepage/IC%20markets%20Homepage/www.icmarkets.com/assets/img/single_market_page/swap-rates-email.png	(from https://www.icmarkets.com/css/pages/swap-rates.css?09dd6ab8f7d673cdbc8bd192ce463261)
21:21:51	302/302	---M--	200	added ('OK')	image/png	etag:W/%2212e-17d7f455918%22	https://www.icmarkets.com/assets/img/single_market_page/swap-rates-list.png	C:/Users/Kenny%20Power/Desktop/IC%20Markets%20Homepage/IC%20markets%20Homepage/www.icmarkets.com/assets/img/single_market_page/swap-rates-list.png	(from https://www.icmarkets.com/css/pages/swap-rates.css?09dd6ab8f7d673cdbc8bd192ce463261)
21:21:51	1426/1426	---M--	200	added ('OK')	image/png	etag:W/%22592-17d7f455918%22	https://www.icmarkets.com/assets/img/single_market_page/swap-rates-swaps.png	C:/Users/Kenny%20Power/Desktop/IC%20Markets%20Homepage/IC%20markets%20Homepage/www.icmarkets.com/assets/img/single_market_page/swap-rates-swaps.png	(from https://www.icmarkets.com/css/pages/swap-rates.css?09dd6ab8f7d673cdbc8bd192ce463261)
21:21:52	44655/44655	---M--	200	added ('OK')	image/png	etag:W/%22ae6f-17d7f455918%22	https://www.icmarkets.com/assets/img/single_market_page/mt5-img.png	C:/Users/Kenny%20Power/Desktop/IC%20Markets%20Homepage/IC%20markets%20Homepage/www.icmarkets.com/assets/img/single_market_page/mt5-img.png	(from https://www.icmarkets.com/css/pages/metatrader-5.css?8594ad89094f71f8ce994ed4836e449f)
21:21:52	41499/41499	---M--	200	added ('OK')	image/png	etag:W/%22a21b-17d7f455918%22	https://www.icmarkets.com/assets/img/single_market_page/mt5-facts-bg.png	C:/Users/Kenny%20Power/Desktop/IC%20Markets%20Homepage/IC%20markets%20Homepage/www.icmarkets.com/assets/img/single_market_page/mt5-facts-bg.png	(from https://www.icmarkets.com/css/pages/metatrader-5.css?8594ad89094f71f8ce994ed4836e449f)
21:21:52	96784/96784	---M--	200	added ('OK')	image/jpeg	etag:W/%2217a10-17d7f455918%22	https://www.icmarkets.com/assets/img/single_market_page/mt-web-banner.jpg	C:/Users/Kenny%20Power/Desktop/IC%20Markets%20Homepage/IC%20markets%20Homepage/www.icmarkets.com/assets/img/single_market_page/mt-web-banner.jpg	(from https://www.icmarkets.com/css/pages/metatrader-web.css?d22a619ce9673cdc000cc8eb939512b7)
